Subscriber,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
1,1584,442,42.29606705,-71.116012,122,42.345733,-71.100694,4587,1967,1
1,894,80,42.36213123,-71.09115601,144,42.36575798,-71.07699394,2340,1994,1
1,973,57,42.34054262,-71.08138848,68,42.36507,-71.1031,2910,1994,1
1,606,149,42.363796,-71.129164,221,42.37250865,-71.11305356,4526,1992,1
1,428,426,42.3529457,-71.05656401,420,42.3587253,-71.07079532,3780,1989,1
1,487,12,42.33624445,-71.08798563,13,42.33639915,-71.07306711,2122,1962,2
1,1243,160,42.33758601,-71.09627098,374,42.35668335,-71.06166646,3907,2002,1
1,894,61,42.348762,-71.082383,178,42.3595732,-71.10129476,4890,1990,2
1,1045,105,42.3572185,-71.11387163,84,42.366981,-71.076472,5560,1969,1
1,490,68,42.36507,-71.1031,96,42.373379,-71.111075,5306,1968,2
0,1791,54,42.354979,-71.063348,8,42.353334,-71.137313,2629,1993,1
1,406,179,42.35560121,-71.10394478,107,42.3625,-71.08822,2486,1997,1
0,742,67,42.3581,-71.093198,144,42.36575798,-71.07699394,5160,1986,1
1,681,190,42.365673,-71.064263,91,42.366277,-71.09169,3076,1987,1
1,200,53,42.35082681,-71.08981088,361,42.34924377,-71.0972821,5877,1998,1
1,564,21,42.34652004,-71.08065777,122,42.345733,-71.100694,3081,1995,1
1,1589,103,42.346563,-71.128374,23,42.35892,-71.057629,4878,1970,1
1,953,332,42.34953017,-71.13022771,25,42.341332,-71.076847,3646,1993,1
1,1173,225,42.37119728,-71.09759867,227,42.349496,-71.10057592,3092,1994,1
1,409,10,42.350406,-71.108279,361,42.34924377,-71.0972821,4100,1983,1
1,459,190,42.365673,-71.064263,43,42.357143,-71.050699,5376,1974,1
1,604,46,42.34366582,-71.08582377,361,42.34924377,-71.0972821,2806,1994,1
1,153,110,42.376369,-71.114025,79,42.37842,-71.105668,2681,1991,1
1,1428,361,42.34924377,-71.0972821,90,42.370677,-71.076529,2486,1989,2
1,522,369,42.36254854,-71.05737358,22,42.352175,-71.055547,4349,1964,1
1,424,189,42.36242784,-71.08495474,60,42.36079297,-71.07118962,4957,1990,1
1,508,225,42.37119728,-71.09759867,189,42.36242784,-71.08495474,2753,1989,1
1,647,53,42.35082681,-71.08981088,51,42.33509899,-71.07903779,3978,1991,2
1,937,94,42.375603,-71.064608,157,42.35317809,-71.04817357,3842,1983,1
1,709,66,42.34922469,-71.13275303,446,42.34960945,-71.10391524,3533,1994,0
0,562,46,42.34366582,-71.08582377,342,42.34465063,-71.09732501,3594,1969,0
1,673,161,42.3391085,-71.0514432,365,42.3494261,-71.0620996,2817,1980,1
