material_id	avg_cost	ctr	cvr	ecpm	deep_convert_rate	pay_rate	first_day_roi	valid_play_rate	finish_play_rate	label_ids	v_resolution_id	duration	r_frame_rate	display_type	path
151	188.405036496	0.0029	0.0759	0.0002	0.0000	0.1188	0.061096822	0.0029	0.1438		4	31	25	vertical	video/20191123/426e67852407aede227a4e0623f1704a.mp4
186	311.668022727	0.0011	0.0131	0.0000	0.0000	0.1532	0.119882804	0.3227	0.0085		4	44	25	vertical	video/20191123/2e6907903c982e14dd1110a9e8328314.mp4
188	119.489500000	0.0002	0.0000	0.0000	0.0000	0.1400	0.140179681	0.2294	0.0020		2	44	25	horizontal	video/20191123/967223eb5e27688695898ac5c011c86b.mp4
401	288.650000000	0.0070	0.0000	0.0000	0.0000			0.0477	0.0262		4	30	25	vertical	video/20191126/277b2777c1a97662a23f756a1b815b19.mp4
534	50.199159217	0.0081	0.0070	0.0001	0.0000	0.1835	0.131097925	0.0507	0.0706		2	20	60	horizontal	video/20191127/655105ab3af95ab23b75a6e6e0fa8d2f.mp4
660	55.567500000	0.0043	0.0000	0.0000	0.0000	0.0667	0.026994196	0.1185	0.0129		2	26	25	horizontal	video/20191127/0a1148b27fb387d13e01d9ae13cfed5b.mp4
924	162.830000000	0.0063	0.0625	0.0004	0.0000	0.3333	0.036848247	0.0285	0.0106		4	36	25	vertical	video/20191127/3170ad9381d5c766c9cddc1d4e5d7d5e.mp4
959	9.137333333	0.0112	0.0288	0.0003	0.0000	0.0552	0.423172333	0.0376	0.0197		4	36	25	vertical	video/20191127/814be4f783545042ad5580cf1fce7678.mp4
1257	13.792222222	0.0216	0.0131	0.0003			0.000000000				4	26	25	vertical	video/20191128/736d6455cdcb0194f6ab56cd1797ca9b.mp4
1258	177.415903614	0.0057	0.2732	0.0016		0.0646	0.099283421				2	26	25	horizontal	video/20191128/672005ca64522d88b8228c5934c43494.mp4
1348	147.620000000	0.0026	0.0000	0.0000	0.0000		0.000000000	0.1605	0.0795		4	30	25	vertical	video/20191128/ee55897f1a0da817d23e127f6c972ffa.mp4
1504	248.795000000	0.0067	0.0000	0.0000	0.0000	0.0000	0.000000000	0.0705	0.0552		4	31	30	vertical	video/20191129/33f3bf4264deeec963731a9b95930545.mp4
1536	28.023888888	0.0057	0.1111	0.0006	0.0000	0.9167	0.888131158	0.0512	0.0180		4	37	25	vertical	video/20191129/b98c8a6ef2b25ddf95231bb48e73c53e.mp4
1549	352.525000000	0.0076	0.0714	0.0005	0.0000	0.3750	0.000000000	0.1265	0.0651		4	43	30	vertical	video/20191129/34a466a1ff6d8b01e401102d8dd2928c.mp4
1550	88.476666666	0.0103	0.0055	0.0001	0.0000	0.0435	0.011302415	0.0931	0.1050		4	43	25	vertical	video/20191129/f8c84165e5c974e1380d5b113ea1cad5.mp4
1765	67.854400000	0.0014	0.0000	0.0000	0.0000	0.0455	0.017684925	0.1485	0.0008		4	19	25	vertical	video/20191202/38e1f2c60da08b473f49a316472d5047.mp4
1772	9.788375000	0.0026	0.0000	0.0000	0.0000	0.0667	0.051081002	0.1125	0.0139		2	15	25	horizontal	video/20191202/0aa91ef3917a6264b301da507face375.mp4
1976	191.716589147	0.0229	0.0111	0.0003	0.0000	0.0844	0.115723144	0.0972	0.0496		2	51	25	horizontal	video/20191203/7bc089379ce9815e108e3fb3ab2f30ef.mp4
1982	104.533333333	0.0039	0.0000	0.0000	0.0000	0.0000	0.000000000	0.0544	0.0124		4	45	25	vertical	video/20191203/21f20734d27d2f3d66313beb77633681.mp4
2027	650.541666666	0.0086	0.0085	0.0001	0.0000	0.2442	0.093768014	0.0240	0.0229		4	22	25	vertical	video/20191204/1c831d00d28f937bc95094c45bfa79c9.mp4
2066	55.992500000	0.0183	0.0000	0.0000	0.0000	0.0421	0.000000000	0.0847	0.0675		2	27	25	horizontal	video/20191204/88be4f0575ff1718479f7d638e73eae7.mp4
2070	196.232500000	0.0094	0.0278	0.0003	0.0000	0.0769	0.007643994	0.0595	0.0327		4	37	25	vertical	video/20191204/5514cdfc3e1f3a2c14f0353388db8253.mp4
2090	19.126885245	0.0057	0.0000	0.0000	0.0000	0.0157	0.000000000	0.0514	0.0281		4	15	25	vertical	video/20191204/a2ed8e24880a51a22466d2983ac3b543.mp4
2154	34.952000000	0.0108	0.0526	0.0006	0.0000	0.2000	0.068665599	0.0363	0.0393	195,257,201,244,205,207,209,211,213,259,306,300,265,270,322,665	2	14	30	horizontal	video/20191204/e0ceb483439ec9298fcff169572c901c.mp4
2186	219.083333333	0.0225	0.0331	0.0007	0.0000	0.0632	0.009128946	0.1270	0.0750		2	41	25	horizontal	video/20191204/e219d3bd70ad738b668e7f44aa935d69.mp4
2197	51.835000000	0.0187	0.0000	0.0000	0.0000	0.0169	0.024114980	0.0933	0.0355		4	43	25	vertical	video/20191204/4dbe08445fc53b746cac5b5268bb4761.mp4
2299	42.585333333	0.0038	0.0000	0.0000	0.0000	0.0000	0.000000000	0.0943	0.0301		4	15	25	vertical	video/20191205/487512f096a3a2f3d9532d838de3dced.mp4
2325	477.715000000	0.0087	0.0167	0.0001	0.0000	0.1667	0.006279895	0.0589	0.0248		4	46	25	vertical	video/20191205/d60d2aac707aff63f4a9b9c2cb0e98bd.mp4
2327	313.520000000	0.0022	0.0000	0.0000	0.0000	0.0000	0.000000000	0.0295	0.0134		4	30	25	vertical	video/20191205/1427a177b38f41d5883d0b7b40112bc0.mp4
2387	404.296790816	0.0088	0.0409	0.0004	0.0002	0.1087	0.305384532	0.0777	0.0574		4	31	30	vertical	video/20191205/157e31263db99941e70a252c234e6e14.mp4
2444	14.813375000	0.0107	0.0000	0.0000	0.0000	0.0000	0.000000000	0.0401	0.0423		2	30	25	horizontal	video/20191205/484b3707eb49bec6ea8ae269307ee9eb.mp4
2587	189.007500000	0.0111	0.0250	0.0003	0.0000	0.0833	0.145496872	0.0466	0.0157		4	35	30	vertical	video/20191206/9c151ab316d068435fb218737caa8717.mp4
2588	314.660000000	0.0089	0.0392	0.0003	0.0000	0.1563	0.004767050	0.0617	0.0246		4	35	30	vertical	video/20191206/957d4791a16d823507e7562b5c64ae88.mp4
2597	67.833125000	0.0072	0.0283	0.0002	0.0000	0.1220	0.202703325	0.0406	0.0168		4	35	30	vertical	video/20191206/dc04715176b81d3dfdca0ad714e03bd2.mp4
2660	838.553520000	0.0082	0.0521	0.0004	0.0000	0.1246	0.172749856	0.1404	0.0459		4	24	30	vertical	video/20191207/27ad5f1e619e55401de9ba54066e370a.mp4
2683	46.652307692	0.0054	0.0417	0.0002	0.0000	0.0286	0.000000000	0.0539	0.0397		4	30	25	vertical	video/20191207/dbc226df1dbb829af9b3bb414e4573fa.mp4
2690	197.220000000	0.0066	0.0526	0.0003	0.0000	1.0000	0.015211439	0.0443	0.0192		4	35	30	vertical	video/20191207/2fe5bb25fee45daa1e9b475073850516.mp4
2780	131.365000000	0.0081	0.0161	0.0001	0.0000		0.000000000				2	17	30	horizontal	video/20191209/6fc3415121bb42ac72e20d7d31c0550a.mp4
2788	106.833333333	0.0094	0.0909	0.0009	0.0000	0.5000	0.000000000	0.0616	0.0241		4	35	30	vertical	video/20191209/53ad7777bb764855f3663b5db69262ed.mp4
2815	61.326000000	0.0361	0.0000	0.0000	0.0000		0.000000000	0.0789	0.0827		2	13	24	horizontal	video/20191209/d7902fdbbce8e5b643bfbd5dc270f110.mp4
2816	70.118571428	0.0193	0.0000	0.0000	0.0000		0.000000000	0.1157	0.0664		2	28	25	horizontal	video/20191209/dbc8b7e028d928060fc68e6f5cd40958.mp4
2885	30.454000000	0.0112	0.0385	0.0004	0.0000	0.0714	0.039403691	0.0739	0.0623		4	25	25	vertical	video/20191209/ac9e11414a143a0ae4389944f000a1a3.mp4
2899	163.600000000	0.0144	0.0000	0.0000	0.0000		0.000000000	0.0906	0.0457		4	25	25	vertical	video/20191209/82994b3bfbdf3f2613e77c5b15e30103.mp4
2925	184.602000000	0.0109	0.0278	0.0003	0.0000	0.1143	0.042253063	0.0909	0.0531		4	28	25	vertical	video/20191210/4fa2fcfaa3215f3a35584b2bc993b28d.mp4
2968	29.367428571	0.0101	0.0355	0.0004	0.0000	0.1782	0.286031172	0.0616	0.0382		4	31	30	vertical	video/20191210/a9bbb6a862757d99c63a02a7aa838e33.mp4
2969	96.442566844	0.0110	0.0450	0.0005	0.0000	0.1311	0.570343049	0.0434	0.0523		2	31	30	horizontal	video/20191210/13e8c1530ceb4322412b1753c356875d.mp4
2974	17.082666666	0.0100	0.0138	0.0001	0.0017	0.1029	0.188625247	0.0277	0.0453		4	41	30	vertical	video/20191210/4fcd71a096601ecdd750d11a8f5f9d09.mp4
3092	23.393750000	0.0105	0.0000	0.0000	0.0000		0.000000000	0.0621	0.0538		2	41	30	horizontal	video/20191211/9dbe364b8affdef759052bd14f8f2b30.mp4
3133	58.087777777	0.0279	0.0323	0.0009	0.0000	0.0217	0.005738442	0.1052	0.0472		2	32	25	horizontal	video/20191211/e64ed1743a573d2588007e8c318df464.mp4
3149	13.436428571	0.0079	0.0000	0.0000	0.0000		0.000000000	0.0390	0.0289		4	31	30	vertical	video/20191211/b879fb3992f9b4aca7b7d1cea9519289.mp4
3240	155.083333333	0.0081	0.0000	0.0000	0.0000		0.000000000	0.0291	0.0237		4	26	25	vertical	video/20191212/66fd7213585d5361b95e19015cf4ef84.mp4
3266	10.610851063	0.0115	0.0351	0.0004	0.0000	0.1080	0.304786349	0.0475	0.0261		4	29	30	vertical	video/20191212/461821a8669b1f036b42fd538bc92520.mp4
